unique_id;B0;E;E_h;T_h;r_squared_school;nvarys_school;ndata_school;out.chisqr;Temps
1;290.95205818807733;0.022915000946058906;3.7383375939361578e-08;303.14999999999998;0.0037168679083631195;4;19582;560362259.04333913;279.14999999999998
1;290.8396760636449;0.022967267337793518;2.558213740924123e-09;303.14999999999998;0.0037168691662948783;4;19582;560362258.77061272;285.14999999999998
1;291.84804131169881;0.022844164388259414;1.2069458994346772e-06;303.14999999999998;0.003716887866273777;4;19582;560362248.35643601;293.14999999999998
1;284.95887734010222;1.1859552960799212e-07;3.0500566616877827e-08;308.14999999999998;1.3622590833151094e-09;4;19582;566587734.20300508;299.14999999999998
1;284.95887688391554;1.3541322073659322e-07;2.8916881211840097e-08;308.14999999999998;1.0379919146430439e-09;4;19582;566587734.59885645;303.14999999999998
2;284.95887624895374;1.2628625544194526e-07;2.6782881568179197e-08;308.14999999999998;1.0462549715484215e-09;4;19582;566587734.58876562;273.14999999999998
2;291.86186917227184;0.022838344570515024;0.011558441662651398;308.14999999999998;0.0037168967797238661;4;19582;560362242.79479516;279.14999999999998
2;290.98305401482713;0.022920371383626893;4.6000269249359953e-08;303.14999999999998;0.0037168720109851394;4;19582;560362260.7759496;285.14999999999998
2;291.86185780046333;0.022838369344584487;0.00017515575571401827;298.14999999999998;0.0037168967796827879;4;19582;560362242.79478395;289.14999999999998
2;291.86184452018642;0.022838401371487283;9.0622369312572051;298.14999999999998;0.0037168967796601393;4;19582;560362242.79477835;293.14999999999998
2;291.02823543303896;0.02291485503908185;5.6373880108564471e-08;299.44999999999999;0.003716874075073151;4;19582;560362255.64988434;303.14999999999998
3;290.8602649064353;0.022932022571647382;2.7902253730527266e-09;310.14999999999998;0.0037168644307700172;4;19582;560362261.25157011;283.14999999999998
3;291.86184617009417;0.022838397365203645;3.3877473893484466e-05;303.14999999999998;0.0037168967796642471;4;19582;560362242.79478037;283.14999999999998
3;291.86184142639911;0.022838403207859449;1.61635598526785e-06;298.14999999999998;0.0037168967856646695;4;19582;560362242.79459596;283.14999999999998
3;290.90923824631426;0.022932653464126752;1.7994782985999426e-08;303.14999999999998;0.0037168670631838596;4;19582;560362259.6622479;288.14999999999998
3;291.37519349197987;0.022905833872506987;2.1119677461331142e-07;303.14999999999998;0.0037168769419315684;4;19582;560362257.89942133;288.14999999999998
3;290.80786943642943;0.022951858740664178;8.3315531148819019e-10;303.14999999999998;0.003716873986688074;4;19582;560362261.63251042;288.14999999999998
3;291.86184671151398;0.022838395600441975;0.00021080367451363775;300.64999999999998;0.0037168967796558094;4;19582;560362242.7947793;293.14999999999998
3;291.86185566574721;0.022838373436557358;3.8338094986534254e-05;293.14999999999998;0.0037168967796693542;4;19582;560362242.79478669;293.14999999999998
3;291.86182097113726;0.022838466458988783;2.2764079141246532e-05;298.14999999999998;0.003716896779658807;4;19582;560362242.79480004;293.14999999999998
3;291.86185377346783;0.022838378217705613;3.2362282491693672e-05;298.14999999999998;0.0037168967796664676;4;19582;560362242.7947824;297.14999999999998
3;291.86184495649832;0.022838400381400937;1.1559843141706408e-05;305.14999999999998;0.0037168967796525898;4;19582;560362242.7947818;297.14999999999998
3;291.86547597600367;0.022839248987151051;1.4677882815728705e-06;303.14999999999998;0.0037168924437102069;4;19582;560362247.81542957;297.14999999999998
3;291.87636940865644;0.022836677060089173;1.5447215824138905e-06;305.14999999999998;0.003716893566803714;4;19582;560362252.51405466;300.14999999999998
3;291.86185093152847;0.022838385284804742;1.0818190701689182e-05;298.14999999999998;0.0037168967796639141;4;19582;560362242.79477823;300.14999999999998
3;291.86182806246052;0.02283844534471401;6.9145810629545141e-05;298.14999999999998;0.0037168967796492591;4;19582;560362242.79478979;300.14999999999998
