FinalID,OriginalTraitValue,unique_id,Temps,logB0,E,E_h,E_l,T_h,T_l,one_over_kt,index_panda,B0
MTD2445,285.31886,4,298.15,5.6684212036489,4.42380290170408e-09,-2.21190145085204e-08,-2.21190145085204e-09,308.15,288.15,3460020.88894047,32,284.95886
MTD2445,285.18886,4,303.15,5.6684212036489,4.42380290170408e-09,-2.21190145085204e-08,-2.21190145085204e-09,308.15,288.15,3518045.72356969,33,284.95886
MTD2445,284.97886,4,306.15,5.6684212036489,4.42380290170408e-09,-2.21190145085204e-08,-2.21190145085204e-09,308.15,288.15,3552860.62434722,34,284.95886
MTD2445,284.95886,4,308.15,5.6684212036489,4.42380290170408e-09,-2.21190145085204e-08,-2.21190145085204e-09,308.15,288.15,3576070.55819891,35,284.95886
MTD2446,285.23886,5,288.15,5.66496010820512,3.37076939018836e-09,-1.68538469509418e-08,-1.68538469509418e-09,308.15,288.15,3343971.21968202,36,284.95886
MTD2446,285.28886,5,293.15,5.66496010820512,3.37076939018836e-09,-1.68538469509418e-08,-1.68538469509418e-09,308.15,288.15,3401996.05431124,37,284.95886
MTD2446,285.37886,5,298.15,5.66496010820512,3.37076939018836e-09,-1.68538469509418e-08,-1.68538469509418e-09,308.15,288.15,3460020.88894047,38,284.95886
MTD2446,285.27886,5,303.15,5.66496010820512,3.37076939018836e-09,-1.68538469509418e-08,-1.68538469509418e-09,308.15,288.15,3518045.72356969,39,284.95886
MTD2446,285.14886,5,306.15,5.66496010820512,3.37076939018836e-09,-1.68538469509418e-08,-1.68538469509418e-09,308.15,288.15,3552860.62434722,40,284.95886
MTD2446,284.95886,5,308.15,5.66496010820512,3.37076939018836e-09,-1.68538469509418e-08,-1.68538469509418e-09,308.15,288.15,3576070.55819891,41,284.95886
MTD2447,285.15886,6,288.15,5.66485469214677,3.39760645038517e-09,-1.69880322519259e-08,-1.69880322519259e-09,308.15,288.15,3343971.21968202,42,284.95886
MTD2447,285.28886,6,293.15,5.66485469214677,3.39760645038517e-09,-1.69880322519259e-08,-1.69880322519259e-09,308.15,288.15,3401996.05431124,43,284.95886
MTD2447,285.30886,6,298.15,5.66485469214677,3.39760645038517e-09,-1.69880322519259e-08,-1.69880322519259e-09,308.15,288.15,3460020.88894047,44,284.95886
MTD2447,285.19886,6,303.15,5.66485469214677,3.39760645038517e-09,-1.69880322519259e-08,-1.69880322519259e-09,308.15,288.15,3518045.72356969,45,284.95886
